Provider,Token,Partner,User,Push protection
Adafruit IO,adafruit_io_key,,,,,
Adobe,adobe_client_secret,,,,,
Adobe,adobe_device_token,,,,,
Adobe,adobe_pac_token,,,,,
Adobe,adobe_refresh_token,,,,,
Adobe,adobe_service_token,,,,,
Adobe,adobe_short_lived_access_token,,,,,
Aiven,aiven_auth_token,,,,,
Aiven,aiven_service_password,,,,,
Alibaba Cloud,alibaba_cloud_access_key_id,alibaba_cloud_access_key_secret,,,,
Login with Amazon,amazon_oauth_client_id,amazon_oauth_client_secret,,,,
Amazon Web Services (AWS),aws_access_key_id,aws_secret_access_key,,,,
Amazon Web Services (AWS),aws_session_token,aws_temporary_access_key_id,aws_secret_access_key,,
Anthropic,anthropic_api_key,,,,,
Asana,asana_personal_access_token,,,,,
Atlassian,atlassian_api_token,,,,,
Atlassian,atlassian_jwt,,,,,
Atlassian,bitbucket_server_personal_access_token,,,,,
Authress,authress_service_client_access_key,,,,,
Azure,azure_active_directory_application_secret,,,,,
Azure,azure_batch_key_identifiable,,,,,
Azure,azure_cache_for_redis_access_key,,,,,
Azure,azure_container_registry_key_identifiable,,,,,
Azure,azure_cosmosdb_key_identifiable,,,,,
Azure,azure_devops_personal_access_token,,,,,
Azure,azure_function_key,,,,,
Azure,azure_ml_web_service_classic_identifiable_key,,,,,
Azure,azure_sas_token,,,,,
Azure,azure_search_admin_key,,,,,
Azure,azure_search_query_key,,,,,
Azure,azure_management_certificate,,,,,
Azure,azure_sql_connection_string,,,,,
Azure,azure_sql_password,,,,,
Azure,azure_storage_account_key,,,,,
Baidu,baiducloud_api_accesskey,,,,,
Beamer,beamer_api_key,,,,,
Beijing Volcano Engine Technology,volcengine_access_key_id,,,,,
Canadian Digital Service,cds_canada_notify_api_key,,,,,
Canva,canva_connect_api_secret,,,,,
Cashfree,Cashfree API Key,,,,,
Checkout.com,checkout_production_secret_key,,,,,
Checkout.com,checkout_test_secret_key,,,,,
Chief Tools,chief_tools_token,,,,,
CircleCI,circleci-pat,,,,,
CircleCI,circleci-prj,,,,,
Clojars,clojars_deploy_token,,,,,
CloudBees CodeShip,codeship_credential,,,,,
Contentful,contentful_personal_access_token,,,,,
Contributed Systems,CONTRIBUTED_SYSTEMS_CREDENTIALS,,,,,
crates.io (Rust Foundation),cratesio_api_token,,,,,
Databricks,databricks_access_token,,,,,
Datadog,DATADOG_API_KEY,,,,,
Defined,defined_networking_nebula_api_key,,,,,
DevCycle,devcycle_client_api_key,,,,,
DevCycle,devcycle_mobile_api_key,,,,,
DevCycle,devcycle_server_api_key,,,,,
DigitalOcean,digitalocean_oauth_token,,,,,
DigitalOcean,digitalocean_personal_access_token,,,,,
DigitalOcean,digitalocean_refresh_token,,,,,
DigitalOcean,digitalocean_system_token,,,,,
Discord,discord_api_token_v2,,,,,
Discord,discord_bot_token,,,,,
Docker,docker_personal_access_token,,,,,
Doppler,doppler_audit_token,,,,,
Doppler,doppler_cli_token,,,,,
Doppler,doppler_personal_token,,,,,
Doppler,doppler_scim_token,,,,,
Doppler,doppler_service_token,,,,,
Doppler,doppler_service_account_token,,,,,
Dropbox,dropbox_access_token,,,,,
Dropbox,dropbox_short_lived_access_token,,,,,
Duffel,duffel_live_access_token,,,,,
Duffel,duffel_test_access_token,,,,,
Dynatrace,dynatrace_access_token,,,,,
Dynatrace,dynatrace_internal_token,,,,,
EasyPost,easypost_production_api_key,,,,,
EasyPost,easypost_test_api_key,,,,,
eBay,ebay_production_client_id,ebay_production_client_secret,,,,
eBay,ebay_sandbox_client_id,ebay_sandbox_client_secret,,,,
Fastly,fastly_api_token,,,,,
Figma,figma_pat,,,,,
Finicity,finicity_app_key,,,,,
Flutterwave,flutterwave_live_api_secret_key,,,,,
Flutterwave,flutterwave_test_api_secret_key,,,,,
Frame.io,frameio_developer_token,,,,,
Frame.io,frameio_jwt,,,,,
FullStory,fullstory_api_key,,,,,
GitHub,github_app_installation_access_token,,,,,
GitHub,github_oauth_access_token,,,,,
GitHub,github_personal_access_token,,,,,
GitHub,github_refresh_token,,,,,
GitHub,github_ssh_private_key,,,,,
GitLab,gitlab_access_token,,,,,
GoCardless,gocardless_live_access_token,,,,,
